"B17001C_001E","B17001C_001M","B17001C_002E","B17001C_002M","B17001C_003E","B17001C_003M","B17001C_004E","B17001C_004M","B17001C_005E","B17001C_005M","B17001C_006E","B17001C_006M","B17001C_007E","B17001C_007M","B17001C_008E","B17001C_008M","B17001C_009E","B17001C_009M","B17001C_010E","B17001C_010M","B17001C_011E","B17001C_011M","B17001C_012E","B17001C_012M","B17001C_013E","B17001C_013M","B17001C_014E","B17001C_014M","B17001C_015E","B17001C_015M","B17001C_016E","B17001C_016M","B17001C_017E","B17001C_017M","B17001C_018E","B17001C_018M","B17001C_019E","B17001C_019M","B17001C_020E","B17001C_020M","B17001C_021E","B17001C_021M","B17001C_022E","B17001C_022M","B17001C_023E","B17001C_023M","B17001C_024E","B17001C_024M","B17001C_025E","B17001C_025M","B17001C_026E","B17001C_026M","B17001C_027E","B17001C_027M","B17001C_028E","B17001C_028M","B17001C_029E","B17001C_029M","B17001C_030E","B17001C_030M","B17001C_031E","B17001C_031M","B17001C_032E","B17001C_032M","B17001C_033E","B17001C_033M","B17001C_034E","B17001C_034M","B17001C_035E","B17001C_035M","B17001C_036E","B17001C_036M","B17001C_037E","B17001C_037M","B17001C_038E","B17001C_038M","B17001C_039E","B17001C_039M","B17001C_040E","B17001C_040M","B17001C_041E","B17001C_041M","B17001C_042E","B17001C_042M","B17001C_043E","B17001C_043M","B17001C_044E","B17001C_044M","B17001C_045E","B17001C_045M","B17001C_046E","B17001C_046M","B17001C_047E","B17001C_047M","B17001C_048E","B17001C_048M","B17001C_049E","B17001C_049M","B17001C_050E","B17001C_050M","B17001C_051E","B17001C_051M","B17001C_052E","B17001C_052M","B17001C_053E","B17001C_053M","B17001C_054E","B17001C_054M","B17001C_055E","B17001C_055M","B17001C_056E","B17001C_056M","B17001C_057E","B17001C_057M","B17001C_058E","B17001C_058M","B17001C_059E","B17001C_059M","GEO_ID","NAME"
"150","124","31","46","31","46","0","23","0","23","0","23","0","23","0","23","0","23","0","23","0","23","0","23","0","23","31","46","0","23","0","23","0","23","0","23","0","23","0","23","0","23","0","23","0","23","0","23","0","23","0","23","0","23","0","23","0","23","0","23","119","115","0","23","0","23","0","23","0","23","0","23","0","23","0","23","0","23","0","23","0","23","0","23","0","23","0","23","0","23","119","115","0","23","0","23","0","23","52","74","0","23","0","23","4","9","0","23","0","23","29","47","34","54","0","23","0","23","0500000US01019","Cherokee County, Alabama"
"504","388","141","122","42","59","0","26","0","26","0","26","0","26","0","26","0","26","0","26","0","26","0","26","0","26","0","26","0","26","42","59","99","82","0","26","0","26","0","26","0","26","0","26","0","26","0","26","0","26","0","26","67","72","32","47","0","26","0","26","363","312","353","312","0","26","0","26","0","26","0","26","0","26","95","93","72","76","0","26","102","92","84","79","0","26","0","26","0","26","10","17","0","26","0","26","0","26","0","26","0","26","0","26","0","26","0","26","0","26","0","26","10","17","0","26","0","26","0500000US01021","Chilton County, Alabama"
"7","10","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","7","10","2","3","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","2","3","0","19","0","19","0","19","5","10","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","5","10","0","19","0","19","0","19","0","19","0500000US01023","Choctaw County, Alabama"
"9","16","0","23","0","23","0","23","0","23","0","23","0","23","0","23","0","23","0","23","0","23","0","23","0","23","0","23","0","23","0","23","0","23","0","23","0","23","0","23","0","23","0","23","0","23","0","23","0","23","0","23","0","23","0","23","0","23","0","23","9","16","9","16","0","23","0","23","0","23","0","23","0","23","0","23","0","23","0","23","0","23","0","23","9","16","0","23","0","23","0","23","0","23","0","23","0","23","0","23","0","23","0","23","0","23","0","23","0","23","0","23","0","23","0","23","0","23","0500000US01025","Clarke County, Alabama"
"20","31","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","20","31","20","31","0","19","0","19","0","19","20","31","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0500000US01027","Clay County, Alabama"
"18","27","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","18","27","15","24","0","19","0","19","1","4","0","19","0","19","0","19","0","19","0","19","1","2","0","19","13","22","0","19","0","19","3","7","0","19","0","19","0","19","2","5","0","19","0","19","0","19","0","19","1","2","0","19","0","19","0","19","0","19","0500000US01029","Cleburne County, Alabama"
"523","136","141","113","96","76","6","11","0","29","16","18","16","17","0","29","0","29","0","29","11","12","38","45","6","8","3","4","0","29","0","29","45","42","0","29","0","29","31","39","0","29","0","29","0","29","0","29","4","9","1","2","2","4","0","29","0","29","7","7","382","114","150","67","2","5","0","29","10","16","0","29","0","29","1","2","19","21","13","14","10","16","30","27","29","16","35","33","1","4","232","72","17","21","0","29","2","3","0","29","0","29","1","2","28","22","18","20","4","5","67","48","61","41","4","7","30","33","0500000US01031","Coffee County, Alabama"
"313","140","33","37","0","29","0","29","0","29","0","29","0","29","0","29","0","29","0","29","0","29","0","29","0","29","0","29","0","29","0","29","33","37","0","29","0","29","0","29","14","18","0","29","0","29","0","29","0","29","0","29","0","29","19","32","0","29","0","29","280","149","45","51","0","29","0","29","0","29","0","29","0","29","0","29","0","29","0","29","0","29","26","42","12","20","0","29","7","12","235","142","0","29","0","29","0","29","0","29","0","29","56","78","0","29","0","29","0","29","103","97","32","45","23","40","21","34","0500000US01033","Colbert County, Alabama"
"20","25","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","20","25","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","20","25","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","20","25","0","19","0","19","0","19","0500000US01035","Conecuh County, Alabama"
"32","37","23","36","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","23","36","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","23","36","0","19","9","14","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","9","14","0","19","0","19","0","19","0","19","0","19","0","19","9","14","0","19","0","19","0","19","0","19","0","19","0","19","0500000US01037","Coosa County, Alabama"
"73","57","0","26","0","26","0","26","0","26","0","26","0","26","0","26","0","26","0","26","0","26","0","26","0","26","0","26","0","26","0","26","0","26","0","26","0","26","0","26","0","26","0","26","0","26","0","26","0","26","0","26","0","26","0","26","0","26","0","26","73","57","15","20","0","26","0","26","0","26","0","26","0","26","0","26","0","26","0","26","0","26","0","26","15","20","0","26","0","26","58","52","0","26","0","26","0","26","0","26","0","26","0","26","0","26","0","26","0","26","58","52","0","26","0","26","0","26","0500000US01039","Covington County, Alabama"
"104","51","69","61","24","23","0","19","0","19","0","19","0","19","0","19","0","19","0","19","21","24","0","19","3","6","0","19","0","19","0","19","45","41","0","19","0","19","0","19","0","19","0","19","0","19","23","26","0","19","14","23","8","10","0","19","0","19","0","19","35","40","10","11","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","5","9","0","19","5","9","0","19","25","32","0","19","0","19","12","19","0","19","0","19","0","19","0","19","8","12","5","9","0","19","0","19","0","19","0","19","0500000US01041","Crenshaw County, Alabama"
